LHD,County
Southwest Utah,beaver
Bear River,box elder
Bear River,cache
Southeast Utah,carbon
TriCounty,daggett
Davis County,davis
TriCounty,duchesne
Southeast Utah,emery
Southwest Utah,garfield
Southeast Utah,grand
Southwest Utah,iron
Central Utah,juab
Southwest Utah,kane
Central Utah,millard
Weber-Morgan,morgan
Central Utah,piute
Bear River,rich
Salt Lake County,salt lake
San Juan,san juan
Central Utah,sanpete
Central Utah,sevier
Summit County,summit
Tooele County,tooele
TriCounty,uintah
Utah County,utah
Wasatch County,wasatch
Southwest Utah,washington
Central Utah,wayne
Weber-Morgan,weber
